person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Mariano Raya,marianoraya,marianoraya@gmail.com,70830075837,1917-07-30,"Periférico Chihuahua 541 359, San Lourdes los bajos, OAX 62074-2385",417-315-0968x497,90:a8:b2:9c:65:45,109.107.222.253,GB67HCOJ1949250780599,2025-06-18 15:46:41,2830,357,85,1447440,44d1a2a1-198a-47f7-a656-6fa77eccfb56
Amanda Esther Tirado Soliz,amandaesthertiradosoliz,amandaesthertiradosoliz@hotmail.com,32932465829,2005-11-25,"Retorno Irlanda 276 204, Vieja Suiza, VER 66123",753.972.8974,62:a4:51:3b:ba:69,42.170.25.236,GB12EQYX7109389586511,2025-06-18 15:46:41,17568,695,497,1523864,c511ccff-f92d-4b3c-aa6e-394d0486257c
Mtro. Alberto Malave,mtro.albertomalave,mtro.albertomalave@hotmail.com,69925967627,1999-09-15,"Diagonal Peralta 038 Edif. 618 , Depto. 968, Nueva Argelia, SON 00313",(156)515-7465,48:09:4f:80:bf:68,214.202.35.142,GB02AWVD1116158657479,2025-06-18 15:46:41,7201,485,743,1818431,434586fd-9321-466b-9ce6-e63f4721f925
Sonia Rosario Orosco Quiroz,soniarosariooroscoquiroz,soniarosariooroscoquiroz@yahoo.com,87369444184,1968-03-06,"Circunvalación Zacatecas 936 Edif. 064 , Depto. 120, Vieja Marruecos, TAB 65313-9540",+72(0)5849768727,e8:12:97:d4:4e:6b,6.1.154.230,GB05DLKZ9552230494416,2025-06-18 15:46:41,6153,722,629,1059469,5dae72e5-b43e-4d13-9111-dc4f167df68c
Sr(a). Silvia Holguín,sr(a).silviaholguín,sr(a).silviaholguín@gmail.com,70488027247,1943-12-14,"Callejón Querétaro 244 Interior 201, San Leonardo los altos, NAY 83522",643.012.7404x205,e4:94:10:08:c2:17,194.89.242.154,GB80ZJVE3335537408848,2025-06-18 15:46:41,3337,45,121,1815629,133fe1af-b489-4f4f-b841-2a66ccf8cd34
Lic. Bernabé Lugo,lic.bernabélugo,lic.bernabélugo@gmail.com,13773311116,1977-10-10,"Ampliación Sur Uribe 082 801, San Cornelio los altos, MEX 92864",+65(3)9073996642,2c:4a:c0:1b:24:4d,68.120.213.198,GB45ZFFW2188929211805,2025-06-18 15:46:41,1397,36,15,188290,10793e2f-6bdf-41bf-8e6f-e44b6367c5f4
Gerardo Zamora,gerardozamora,gerardozamora@hotmail.com,1316719937,1962-05-19,"Diagonal Verduzco 119 Edif. 173 , Depto. 012, San Jonás los bajos, DGO 32527-6324",01047039427,c0:72:9d:b6:67:e3,155.173.209.46,GB71QHWZ9034375882579,2025-06-18 15:46:41,6087,896,629,1649836,f1efbc66-26cb-4df1-bb91-abc26661c0c7
Ing. Salma Verdugo,ing.salmaverdugo,ing.salmaverdugo@hotmail.com,86586426347,1915-05-09,"Pasaje Yucatán 307 221, San Irene de la Montaña, QRO 26248-5470",(725)702-6887,72:a1:0c:d8:86:21,35.22.255.168,GB92PAXZ8495556399917,2025-06-18 15:46:41,28186,964,584,108962,192e064f-f733-4209-a722-bf2e067344c6
Ing. Cristal de León,ing.cristaldeleón,ing.cristaldeleón@gmail.com,79637537139,1986-12-14,"Calle República Árabe Siria 910 908, San Mario los bajos, JAL 85995",984-224-4260x010,c6:b8:7f:c0:17:fc,165.36.182.10,GB46SSIL8916055565396,2025-06-18 15:46:41,22953,354,517,1087835,aeaa68bb-28cb-4d2b-b587-4c2f8c4be519
Mtro. José María Mascareñas,mtro.josémaríamascareñas,mtro.josémaríamascareñas@hotmail.com,87378474107,2024-04-28,"Peatonal Indonesia 025 Interior 866, Nueva Kiribati, HGO 90662",(861)525-6580x336,da:df:3e:12:5a:9c,15.184.68.164,GB81MUXG8518258849760,2025-06-18 15:46:41,22194,208,78,1747518,d60f34b3-7018-4271-8b5f-2d9df4079bea
